DATE,FOCAL,INDUCER,TREATMENT,REP.NUMB,SUBPLOT,PLOT,POSITION,BACKGROUND,HEIGHT.CM,MAIN.AXIS.CM,SEC.AXIS.CM,LAT.AXIS.CM,SHAPE,NUMB.LEAVES,TOTAL.STEM.CM,SEED.LEAF.HEIGHT,INTERNODE.1,INTERNODE.2,INTERNODE.3,INTERNODE.4,COMMENTS
June 3rd,Bug,Pap,Pap(Bug),4,1-A,1,13,PAP-2,17,6,4.7,5.35,3.177570093,16,16.5,0.8,1.3,2.9,2,1.8,
June 3rd,Bug,Cen,Cen(Bug),3,10-A,10,2,0,7.5,1.5,0.8,1.15,6.52173913,8,6.5,0,3,0.2,2.2,0.4,
June 3rd,Bug,Sin,Sin(Bug),4,10-A,10,8,0,22,9,8,8.5,2.588235294,45,44,1.5,1.7,2.5,1.5,2.3,
June 3rd,Bug,Sin,Sin(Bug),5,10-A,10,8,0,7,6.5,4,5.25,1.333333333,9,4.5,1.2,0.7,1.4,0.5,0.7,
June 3rd,Bug,None,None(Bug),3,10-B,10,1,0,26.5,9,10,9.5,2.789473684,63,66.5,0,2.5,2.5,1.2,3,
June 3rd,Bug,Sil,Sil(Bug),4,12-A,12,4,SIL-1,19.5,7.5,6,6.75,2.888888889,24,30.5,0,2,2.5,0.6,2,
June 3rd,Bug,Pap,Pap(Bug),1,14-A,14,5,0,11,2.5,2,2.25,4.888888889,14,10,1.5,3,2,1,1,
June 3rd,Bug,None,None(Bug),1,14-A,14,12,0,15,4,3,3.5,4.285714286,15,15,0.5,1,2,2,3,
June 3rd,Bug,Cen,Cen(Bug),1,14-B,14,11,0,14,2,2,2,7,13,14,0.5,1.5,4.5,2,1,
June 3rd,Bug,Bug,Bug(Bug),1,14-B,14,15,0,17,4,3,3.5,4.857142857,11,17,0.5,3,2,1.5,3,
June 3rd,Bug,Pap,Pap(Bug),5,15-B,15,6,PAP-1,11.5,1.5,1,1.25,9.2,7,10.5,1.5,2.5,3.7,0.5,1,
June 3rd,Bug,None,None(Bug),2,20-A,20,7,0,20.5,10,7.5,8.75,2.342857143,73,35,0,2,0.5,3,1,
June 3rd,Bug,Sin,Sin(Bug),3,20-A,20,13,0,9,5.2,1.8,3.5,2.571428571,9,8,2,1.7,2.5,0.6,1.5,
June 3rd,Bug,Pap,Pap(Bug),3,20-B,20,10,0,9,2,1.5,1.75,5.142857143,11,9,1,2,3,0.5,1,
June 3rd,Bug,Bug,Bug(Bug),5,20-B,20,11,0,12,2,2,2,6,15,12,1.5,1.5,2.5,3,1,
June 3rd,Bug,Bug,Bug(Bug),3,22-A,22,1,0,20,3,3,3,6.666666667,20,20,0,0.5,2.5,3,1.5,
June 3rd,Bug,Sin,Sin(Bug),2,22-A,22,10,0,7,2,2,2,3.5,8,6,0,1.5,2,2,,
June 3rd,Bug,Bug,Bug(Bug),4,22-A,22,,0,21,5,4,4.5,4.666666667,22,23,1,2,1,3,1,
June 3rd,Bug,Sil,Sil(Bug),1,22-B,22,2,0,22,5,3.5,4.25,5.176470588,28,31.5,0.5,1,2,0.5,2.5,
June 3rd,Bug,Sin,Sin(Bug),1,22-B,22,4,0,18,4,3,3.5,5.142857143,10,17,1,2.5,5,1,3.5,
June 3rd,Bug,Bug,Bug(Bug),2,22-B,22,5,0,23,7,6,6.5,3.538461538,31,25,0.5,1,3,1,3,
June 3rd,Bug,Cen,Cen(Bug),4,25-B,25,2,CEN-5,17,1.8,1.5,1.65,10.3030303,7,16,1.5,2.8,4,1,3,NOT WELL-PLANTED
June 3rd,Bug,Sil,Sil(Bug),2,28-B,28,3,SIL-3,22,18,10,14,1.571428571,59,64.5,0,2,2,1.7,1.4,
June 3rd,Bug,Bug,Bug(Bug),4,5-A,5,1,0,21,7,5.5,6.25,3.36,31,20,0.5,1.3,2.2,0.8,2,
June 3rd,Bug,None,None(Bug),5,5-A,5,15,0,18,9,8,8.5,2.117647059,25,9.5,0,0.5,0.3,0.7,1.3,
June 3rd,Bug,Cen,Cen(Bug),2,5-B,5,7,,29,9,4,6.5,4.461538462,34,44,1,3,1,4,1,
June 3rd,Bug,Pap,Pap(Bug),2,5-B,5,8,0,23,5,5,5,4.6,26,29.5,1,2,4,4,1.5,
June 3rd,Bug,Cen,Cen(Bug),5,7-A,7,10,CEN-3,5,3.5,3.5,3.5,1.428571429,8,3,0.5,0.6,1.1,0.5,,
June 3rd,Bug,Sil,Sil(Bug),3,6-B,10,,SIL-2,24,9.5,9,9.25,2.594594595,73,56.5,0,1.5,0.5,3.5,1,
June 3rd,Cen,Pap,Pap(Cen),3,1-A,1,6,PAP-2,13,5,4,4.5,2.888888889,13,10,1,0.5,1,1,1.5,
June 3rd,Cen,Sin,Sin(Cen),3,1-B,1,3,SIN-1,9,3.5,3,3.25,2.769230769,8,,1,0.5,1,,,
June 3rd,Cen,Sin,Sin(Cen),5,10-B,10,3,0,15,7,4,5.5,2.727272727,15,10.5,1.2,0.3,2,2,1.5,
June 3rd,Cen,Bug,Bug(Cen),3,11-A,11,9,BUG-5,6,4,3,3.5,1.714285714,7,,0.5,0.5,1,,,
June 3rd,Cen,Sil,Sil(Cen),3,12-A,12,2,SIL-1,6,3,3,3,2,8,,1,1,,,,LOW STEM
June 3rd,Cen,Sil,Sil(Cen),1,14-A,14,3,0,21,14,13,13.5,1.555555556,32,24.5,0,1,2,0.5,1,
June 3rd,Cen,None,None(Cen),1,14-B,14,2,0,5,14,12.5,13.25,0.377358491,14,,0,,,,,ROSETTE WITH LOW STEM
June 3rd,Cen,Cen,Cen(Cen),1,14-B,14,5,0,14,8,5,6.5,2.153846154,18,12,1,0.5,1.5,1.5,2,
June 3rd,Cen,Cen,Cen(Cen),2,14-B,14,5,0,18,10,5.5,7.75,2.322580645,24,15,0,1,2,2.5,44,
June 3rd,Cen,Cen,Cen(Cen),4,15-A,15,13,BUG-1,21,7,5,6,3.5,14,19,0,1,1,1.5,2,
June 3rd,Cen,Cen,Cen(Cen),5,15-B,15,3,PAP-1,38,9,6,7.5,5.066666667,21,48,1,1,1.5,1.5,2,
June 3rd,Cen,Pap,Pap(Cen),2,15-B,15,13,PAP-1,3,2,1.5,1.75,1.714285714,5,,1,,,,,
June 3rd,Cen,Pap,Pap(Cen),4,16-A,16,15,PAP-3,6,2,2,2,3,9,,,0.5,0.5,1,,LOW STEM
June 3rd,Cen,Bug,Bug(Cen),5,19-A,19,2,BUG-7,16,9,5,7,2.285714286,21,14,0.5,0.5,1,0.5,1.5,
June 3rd,Cen,Sin,Sin(Cen),4,20-A,20,12,0,13,6.5,4.7,5.6,2.321428571,11,8,1,0.2,0.5,1.2,1.5,
June 3rd,Cen,Pap,Pap(Cen),5,20-B,20,3,0,13,10,5,7.5,1.733333333,25,9,0.5,1.2,0.3,1,0.5,
June 3rd,Cen,Sil,Sil(Cen),5,20-B,20,5,0,4.5,2.5,1.8,2.15,2.093023256,1.5,0.4,,,,,,ROSETTE
June 3rd,Cen,None,None(Cen),4,20-B,20,14,0,26,7,7,7,3.714285714,19,25.5,0.5,0.2,0.3,0.8,2.5,
June 3rd,Cen,None,None(Cen),3,22-A,22,2,0,11,10,11.5,10.75,1.023255814,17,7,0,0.5,0.5,1,0.5,
June 3rd,Cen,None,None(Cen),2,22-B,22,7,0,12,9,8,8.5,1.411764706,27,11,0,0.5,1,0.5,0.5,
June 3rd,Cen,Sil,Sil(Cen),4,28-B,28,12,SIL-3,22,15,14,14.5,1.517241379,30,28,1,0.5,0.5,1,1,
June 3rd,Cen,Bug,Bug(Cen),4,30-A,30,9,BUG-6,17,8,7,7.5,2.266666667,14,16,0,1,1,1.5,2,
June 3rd,Cen,Sin,Sil(Cen),2,5-B,5,2,0,39,17,16,16.5,2.363636364,39,12.6,0,0.5,0.5,0.5,1,
June 3rd,Cen,Cen,Cen(Cen),3,5-B,5,3,0,20,9.5,8,8.75,2.285714286,16,16,1,1,1.5,2,2,
June 3rd,Cen,Sin,Sin(Cen),1,5-B,5,10,0,13,11,6,8.5,1.529411765,12,12,1,0.5,0.5,1,1,
June 3rd,Cen,Bug,Bug(Cen),1,6-A,6,11,BUG-2,9,13,8,10.5,0.857142857,11,,0,1,0.5,0.5,,LOW STEM
June 3rd,Cen,Sil,Sil(Cen),2,6-B,6,5,SIL-2,5,5,4,4.5,1.111111111,6,,0,,,,,ROSETTE
June 3rd,Cen,Bug,Bug(Cen),2,7-B,7,14,BUG-3,25,13,11,12,2.083333333,19,26,1,1,1,0.5,1,
June 3rd,Pap,Sin,Sin(pap),4,10-A,10,6,0,6,6,4.7,5.35,1.121495327,7,1.5,0,0.5,0.6,0.4,0.6,
June 3rd,Pap,None,None(pap),5,10-A,10,11,0,8.5,15.5,10,12.75,0.666666667,25,5.5,0,2,1,,,
June 3rd,Pap,Pap,Pap(Pap),4,10-A,10,12,0,8,7,4.5,5.75,1.391304348,12,2.5,0,1,0.8,,,
June 3rd,Pap,Cen,Cen(Pap),4,10-A,10,14,0,5,3.6,2.5,3.05,1.639344262,9,,,,,,,
June 3rd,Pap,Pap,Pap(Pap),5,10-B,10,8,0,18,24,24,24,0.75,17,12.5,0,1,3,4,2.5,
June 3rd,Pap,Bug,Bug(Pap),5,10-B,10,11,0,6,5.5,4.5,5,1.2,15,,0,,,,,ROSETTE
June 3rd,Pap,Sil,Sil(Pap),3,12-A,12,14,SIL-2,20,5,4,4.5,4.444444444,22,23,0.5,2,3,1,2,
June 3rd,Pap,Cen,Cen(Pap),1,14-A,14,7,0,10,19,17,18,0.555555556,30,5,0,2,1.5,,,APHIDS
June 3rd,Pap,None,None(pap),1,14-A,14,14,0,9,13,13,13,0.692307692,19,3,0,0.5,0.5,,,
June 3rd,Pap,Sil,Sil(Pap),1,14-A,14,15,0,6,16,15,15.5,0.387096774,14,2,0,0.5,,,,
June 3rd,Pap,Bug,Bug(Pap),1,14-B,14,6,0,2.5,1.5,1.5,1.5,1.666666667,5,,0,,,,,ROSETTE WITH LOW STEM
June 3rd,Pap,Sin,Sin(pap),1,14-B,14,9,0,7,8,7,7.5,0.933333333,7,3,0,0.5,0.5,,,
June 3rd,Pap,Pap,Pap(Pap),1,14-B,14,13,0,6,15,8,11.5,0.52173913,9,3,0,,,,,ROSETTE
June 3rd,Pap,Bug,Bug(Pap),3,15-A,15,10,BUG-1,3,2,1.5,1.75,1.714285714,9,,0,,,,,ROSETTE
June 3rd,Pap,Pap,Pap(Pap),3,20-A,20,5,0,7,8.5,6.5,7.5,0.933333333,9,1.6,0.5,,,,,ROSETTE
June 3rd,Pap,Bug,Bug(Pap),4,20-A,20,9,0,6,13.5,12,12.75,0.470588235,13,1.5,0,,,,,ROSETTE
June 3rd,Pap,None,None(pap),4,20-B,20,4,0,6,12.5,7.5,10,0.6,24,3,0,1,0.5,1,,
June 3rd,Pap,Cen,Cen(Pap),3,20-B,20,15,0,8,5.5,4,4.75,1.684210526,12,3.5,0,,,,,
June 3rd,Pap,Sin,Sin(pap),3,20-B,20,,0,5,5.5,3.5,4.5,1.111111111,6,,0,,,,,ROSETTE
June 3rd,Pap,Cen,Cen(Pap),2,22-A,22,3,0,4,2,1.5,1.75,2.285714286,9,,0.5,0.5,1,,,
June 3rd,Pap,Sin,Sin(pap),2,22-A,22,4,0,5,4,3,3.5,1.428571429,6,,0,,,,,ROSETTE
June 3rd,Pap,Bug,Bug(Pap),2,22-A,22,11,0,3,2,1.5,1.75,1.714285714,7,,0,,,,,ROSETTE WITH LOW STEM
June 3rd,Pap,None,None(pap),2,22-B,22,8,0,5,3,2.5,2.75,1.818181818,9,,0,,,,,ROSETTE
June 3rd,Pap,None,None(pap),3,22-B,22,8,0,5,4,3,3.5,1.428571429,10,,0,,,,,ROSETTE
June 3rd,Pap,Pap,Pap(Pap),2,22-B,22,9,0,4,2.5,2.5,2.5,1.6,9,,0,,,,,ROSETTE
June 3rd,Pap,Sil,Sil(Pap),5,25-A,25,5,SIL-5,4,9,9,9,0.444444444,12,,0,,,,,ROSETTE WITH LOW STEM
June 3rd,Pap,Sil,Sil(Pap),4,28-B,28,9,SIL-3,6.5,3,2.5,2.75,2.363636364,11,,0,0.5,,,,LOW STEM
June 3rd,Pap,Sil,Sil(Pap),2,6-B,6,6,SIL-2,5,3,3,3,1.666666667,12,,0,,,N,,ROSETTE
June 3rd,Sil,Cen,Cen(Sil),2,10-A,10,13,0,4,5,3.8,4.4,0.909090909,7,,0,,,,,ROSETTE
June 3rd,Sil,None,None(Sil),4,10-B,10,4,0,5,6,5.5,5.75,0.869565217,13,,0,,,,,ROSETTE
June 3rd,Sil,Bug,Bug(Sil),1,10-B,10,7,0,3,3,2.8,2.9,1.034482759,7,,0,,,,,ROSETTE
June 3rd,Sil,Sin,Sin(Sil),1,10-B,10,14,0,5,6,4.3,5.15,0.970873786,6,,0,0.5,,,,ROSETTE
June 3rd,Sil,None,None(Sil),1,14-B,14,8,0,8,8,6,7,1.142857143,13,,0,0-5,1,2,1,LOW STEM
June 3rd,Sil,Sil,Sil(Sil),3,15-A,15,12,BUG-1,5,5,3.2,4.1,1.219512195,10,,0,,,,,ROSETTE
June 3rd,Sil,Bug,Bug(Sil),3,15-A,15,15,BUG-1,4.5,5,4,4.5,1,7,,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),2,15-B,15,10,PAP-1,5,5.5,4.5,5,1,9,,0,,,,,
June 3rd,Sil,None,None(Sil),5,15-B,15,11,PAP-1,4.7,6.5,5.2,5.85,0.803418803,9,,0,,,,,ROSETTE - LEAVES EATEN BY HERBIVORES
June 3rd,Sil,None,None(Sil),3,20-B,20,7,0,4.5,6,4,5,0.9,10,,0,,,,,ROSETTE
June 3rd,Sil,Pap,Pap(Sil),2,20-B,20,9,0,2,2.8,1.6,2.2,0.909090909,4,1,0.5,,,,,ROSETTE
June 3rd,Sil,Pap,Pap(Sil),1,22-B,22,,0,5,3.5,3.5,3.5,1.428571429,6,,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),1,22-B,22,,0,6,8,6,7,0.857142857,9,,0,,,,,ROSETTE WITH LOW STEM
June 3rd,Sil,Cen,Cen(Sil),3,25-B,25,10,CEN-5,5,5,5,5,1,8,2.2,0,0.5,1.2,,,
June 3rd,Sil,Pap,Pap(Sil),3,28-A,28,14,PAP-4,3.5,4,2.5,3.25,1.076923077,6,0,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),2,5-A,5,13,0,6,5,3,4,1.5,10,2.5,0,1.8,,,,LOOKS SICK - WHITE DOTS ON LEAVES (FUNGHI)
June 3rd,Sil,None,None(Sil),2,5-B,5,1,0,2.5,3,2.5,2.75,0.909090909,6,,0,,,,,ROSETTE
June 3rd,Sil,Cen,Cen(Sil),1,5-B,5,6,0,4,5,2.5,3.75,1.066666667,5,,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),4,6-B,6,11,SIL-2,5,6.8,6.3,6.55,0.763358779,11,,0,,,,,ROSETTE
June 3rd,Sil,Cen,Cen(Sil),4,7-A,7,1,CEN-3,4,3.4,3,3.2,1.25,5,,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),2,15-B,10,10,PAP-1,5,5.5,4.5,5,1,9,,0,,,,,
June 3rd,Sin,Sil,Sil(Sin),5,10-A,10,5,0,31.5,14.5,12,13.25,2.377358491,19,128.5,0,2,1.7,0.8,1.5,
June 3rd,Sin,None,None(Sin),5,10-A,10,7,0,44,24.5,12,18.25,2.410958904,16,67.5,0,0.8,1.3,2.9,"3,8",
June 3rd,Sin,Pap,Pap(Sin),3,10-A,10,9,0,41,16,16,16,2.5625,15,116,0,0.4,4.5,4.9,5,
June 3rd,Sin,Sin,Sin(Sin),5,10-A,10,15,0,52.5,17,8,12.5,4.2,13,128.5,0,,,,,DATA FOR NODE MISSING
June 3rd,Sin,Cen,Cen(Sin),5,10-B,10,2,0,44,24.5,12,18.25,2.410958904,16,67.5,0,0.8,1.3,2.9,3.8,
June 3rd,Sin,Bug,Bug(Sin),4,10-B,10,13,0,37.5,29,24.5,26.75,1.401869159,15,68,0,2,3.5,6,6,Wrong position code was 10-A
June 3rd,Sin,None,None(Sin),1,14-A,14,11,0,50,13,12,12.5,4,23,397,0,2,2,3.5,4,
June 3rd,Sin,Sil,Sil(Sin),1,14-A,14,13,0,44,24,20,22,2,38,311,0,1,3,2,4,
June 3rd,Sin,Bug,Bug(Sin),1,14-B,14,3,0,47,11,10,10.5,4.476190476,23,102,0-5,1,1,2,2,
June 3rd,Sin,Sin,Sin(Sin),1,14-B,14,7,0,47,15,10,12.5,3.76,14,77,0.5,1,3.5,3,5,
June 3rd,Sin,Bug,Bug(Sin),5,15-A,15,7,BUG-1,45,23,18,20.5,2.195121951,20,133.5,0,1.5,1.8,1.6,4,
June 3rd,Sin,Pap,Pap(Sin),5,15-B,15,,PAP-1,60,30,29,29.5,2.033898305,28,232,0,0.5,1,1.2,2,
June 3rd,Sin,Sil,Sil(Sin),4,20-A,20,3,0,54,24,16,20,2.7,19,218,1,1.5,1.3,2,2.5,
June 3rd,Sin,Cen,Cen(Sin),4,20-A,20,10,0,48,26,26,26,1.846153846,36,47,0,0.8,1.7,2,3.5,
June 3rd,Sin,None,None(Sin),4,20-A,20,14,0,48,26,26,26,1.846153846,36,47,0,0.8,1.7,2,3.5,
June 3rd,Sin,Sin,Sin(Sin),4,20-B,20,1,0,46,15,14.5,14.75,3.118644068,24,140.5,3.7,0.8,1.2,2.5,"3,8",
June 3rd,Sin,Pap,Pap(Sin),2,20-B,20,2,0,25,10.5,8,9.25,2.702702703,5,34.5,0.6,0.6,0.7,2.6,4.5,
June 3rd,Sin,Bug,Bug(Sin),3,20-B,20,13,0,39,30,23,26.5,1.471698113,21,112,0,2,2,9,5,
June 3rd,Sin,Cen,Cen(Sin),1,22-A,22,5,0,31,13,9,11,2.818181818,19,87,0,0.5,1,2,1,APHIDS
June 3rd,Sin,None,None(Sin),3,22-A,22,15,0,25,13,11.5,12.25,2.040816327,28,60,0,1,0.5,1,2,
June 3rd,Sin,Pap,Pap(Sin),1,22-A,22,,0,41,12,10,11,3.727272727,26,221,1,1,2,1.5,1,
June 3rd,Sin,Sin,Sin(Sin),2,22-B,22,3,0,41,9,8,8.5,4.823529412,16,78.5,0.5,2.5,2,3,3,
June 3rd,Sin,Sin,Sin(Sin),3,22-B,22,3,0,39,23,17,20,1.95,16,88,0,1,3,4,3,
June 3rd,Sin,None,None(Sin),2,22-B,22,6,0,30,10,9,9.5,3.157894737,19,95.5,1,1,1,1.5,4,
June 3rd,Sin,Pap,Pap(Sin),4,5-A,5,5,0,41,29.5,29,29.25,1.401709402,26,147,0,1.5,1.5,3.5,3.2,
June 3rd,Sin,Bug,Bug(Sin),2,5-B,5,9,0,32,7,6,6.5,4.923076923,12,28,0.5,2,1,1.5,2,
June 3rd,Sin,None,None(Sin),2,5-B,5,13,0,54,14,11,12.5,4.32,33,172,0,0.5,1,1,3,
June 3rd,Sin,Cen,Cen(Sin),2,5-B,5,15,0,46,16,11,13.5,3.407407407,17,129,0.5,1,1,1,3.5,
June 3rd,Sin,Sil,Sil(Sin),3,6-B,6,8,SIL-2,31,22,15,18.5,1.675675676,24,95,0,1,1,2,3,
June 3rd,Sin,Cen,Cen(Sin),3,9-A,9,7,CEN-2,35,10,10,10,3.5,12,59,1,1,0.5,1.5,3,